cnd#|left|rght|LposX|LposY|RposX|RposY	totalconditions=018
001 |001 |002 |-125 |+200 |+450 |-225
002 |002 |001 |-125 |+200 |+450 |-225
003 |001 |002 |-125 |+200 |+450 |+200
004 |002 |001 |-125 |+200 |+450 |+200
005 |001 |002 |+450 |-225 |+450 |+200
006 |002 |001 |+450 |-225 |+450 |+200
007 |001 |003 |-125 |+200 |+450 |-225
008 |003 |001 |-125 |+200 |+450 |-225
009 |001 |003 |-125 |+200 |+450 |+200
010 |003 |001 |-125 |+200 |+450 |+200
011 |001 |003 |+450 |-225 |+450 |+200
012 |003 |001 |+450 |-225 |+450 |+200
013 |002 |003 |-125 |+200 |+450 |-225
014 |003 |002 |-125 |+200 |+450 |-225
015 |002 |003 |-125 |+200 |+450 |+200
016 |003 |002 |-125 |+200 |+450 |+200
017 |002 |003 |+450 |-225 |+450 |+200
018 |003 |002 |+450 |-225 |+450 |+200
